"Name","Live Bytes","Live Objects","Allocated Objects","Avg. Age","Generations"
"viper.silicon.state.terms.True","59’840 B (0.8%)","1’496 (0.9%)","689’527 (18.9%)","131.0","63"
" java.lang.Object.<init> ()","59’840 B (0.8%)","1’496 (0.9%)","421’748 (11.5%)","131.0","63"
"  viper.silicon.state.terms.True.<init> ()","59’840 B (0.8%)","1’496 (0.9%)","421’748 (11.5%)","131.0","63"
"   viper.silicon.state.terms.And$.$anonfun$createAnd$2 (viper.silicon.state.terms.Term)","16’480 B (0.2%)","412 (0.2%)","153’451 (4.2%)","0.0","1"
"    viper.silicon.state.terms.And$.$anonfun$createAnd$2$adapted (viper.silicon.state.terms.Term)","16’480 B (0.2%)","412 (0.2%)","153’451 (4.2%)","0.0","1"
"     viper.silicon.state.terms.And$$$Lambda$1456.499481687.apply (Object)","16’480 B (0.2%)","412 (0.2%)","153’451 (4.2%)","0.0","1"
"      scala.collection.immutable.List.filterNot (scala.Function1)","4’760 B (0.1%)","119 (0.1%)","84’555 (2.3%)","0.0","1"
"       scala.collection.immutable.List.filterNot (scala.Function1)","4’760 B (0.1%)","119 (0.1%)","84’555 (2.3%)","0.0","1"
"        viper.silicon.state.terms.And$.createAnd (scala.collection.immutable.Seq)","4’760 B (0.1%)","119 (0.1%)","84’555 (2.3%)","0.0","1"
"         viper.silicon.state.terms.And$.apply (scala.collection.Iterable)","4’760 B (0.1%)","119 (0.1%)","84’555 (2.3%)","0.0","1"
"          viper.silicon.decider.LayeredPathConditionStackLike.$anonfun$conditionalized$1 (scala.runtime.ObjectRef, scala.runtime.ObjectRef, viper.silicon.decider.PathConditionStackLayer)","2’160 B (0%)","54 (0%)","54’261 (1.5%)","0.0","1"
"          viper.silicon.state.terms.And$.apply (Object)","2’400 B (0%)","60 (0%)","29’559 (0.8%)","0.0","1"
"          viper.silicon.supporters.functions.FunctionData.$anonfun$definitionalAxiom$2 (viper.silicon.supporters.functions.FunctionData, viper.silicon.state.terms.Term)","200 B (0%)","5 (0%)","735 (0%)","0.0","1"
"      scala.collection.StrictOptimizedIterableOps.filterImpl (scala.Function1, boolean)","11’720 B (0.2%)","293 (0.2%)","68’896 (1.9%)","0.0","1"
"       scala.collection.StrictOptimizedIterableOps.filterImpl$ (scala.collection.StrictOptimizedIterableOps, scala.Function1, boolean)","11’720 B (0.2%)","293 (0.2%)","68’896 (1.9%)","0.0","1"
"        scala.collection.immutable.ArraySeq.filterImpl (scala.Function1, boolean)","11’720 B (0.2%)","293 (0.2%)","68’896 (1.9%)","0.0","1"
"         scala.collection.StrictOptimizedIterableOps.filterNot (scala.Function1)","11’720 B (0.2%)","293 (0.2%)","68’896 (1.9%)","0.0","1"
"          scala.collection.StrictOptimizedIterableOps.filterNot$ (scala.collection.StrictOptimizedIterableOps, scala.Function1)","11’720 B (0.2%)","293 (0.2%)","68’896 (1.9%)","0.0","1"
"   viper.silicon.state.terms.And$.createAnd (scala.collection.immutable.Seq)","15’400 B (0.2%)","385 (0.2%)","107’364 (2.9%)","86.7","31"
"    viper.silicon.state.terms.And$.apply (scala.collection.Iterable)","15’360 B (0.2%)","384 (0.2%)","107’363 (2.9%)","85.4","31"
"     viper.silicon.decider.LayeredPathConditionStackLike.$anonfun$conditionalized$1 (scala.runtime.ObjectRef, scala.runtime.ObjectRef, viper.silicon.decider.PathConditionStackLayer)","7’280 B (0.1%)","182 (0.1%)","80’864 (2.2%)","9.9","4"
"      viper.silicon.decider.LayeredPathConditionStackLike.$anonfun$conditionalized$1$adapted (scala.runtime.ObjectRef, scala.runtime.ObjectRef, viper.silicon.decider.PathConditionStackLayer)","7’280 B (0.1%)","182 (0.1%)","80’864 (2.2%)","9.9","4"
"       viper.silicon.decider.LayeredPathConditionStackLike$$Lambda$1453.867944832.apply (Object)","7’280 B (0.1%)","182 (0.1%)","80’864 (2.2%)","9.9","4"
"        scala.collection.immutable.List.foreach (scala.Function1)","7’280 B (0.1%)","182 (0.1%)","80’864 (2.2%)","9.9","4"
"         viper.silicon.decider.LayeredPathConditionStackLike.conditionalized (scala.collection.immutable.Seq)","7’280 B (0.1%)","182 (0.1%)","80’864 (2.2%)","9.9","4"
"          viper.silicon.decider.LayeredPathConditionStackLike.conditionalized$ (viper.silicon.decider.LayeredPathConditionStackLike, scala.collection.immutable.Seq)","7’280 B (0.1%)","182 (0.1%)","80’864 (2.2%)","9.9","4"
"     viper.silicon.decider.LayeredPathConditionStackLike.$anonfun$quantified$1 (scala.runtime.ObjectRef, scala.runtime.ObjectRef, viper.silicon.state.terms.Quantifier, scala.collection.immutable.Seq, scala.collection.immutable.Seq, scala.collection.immutable.Seq, String, boolean, viper.silicon.decider.PathConditionStackLayer)","3’480 B (0%)","87 (0.1%)","17’320 (0.5%)","10.4","4"
"      viper.silicon.decider.LayeredPathConditionStackLike.$anonfun$quantified$1$adapted (scala.runtime.ObjectRef, scala.runtime.ObjectRef, viper.silicon.state.terms.Quantifier, scala.collection.immutable.Seq, scala.collection.immutable.Seq, scala.collection.immutable.Seq, String, boolean, viper.silicon.decider.PathConditionStackLayer)","3’480 B (0%)","87 (0.1%)","17’320 (0.5%)","10.4","4"
"       viper.silicon.decider.LayeredPathConditionStackLike$$Lambda$1989.1943316007.apply (Object)","3’480 B (0%)","87 (0.1%)","17’320 (0.5%)","10.4","4"
"        scala.collection.immutable.List.foreach (scala.Function1)","3’480 B (0%)","87 (0.1%)","17’320 (0.5%)","10.4","4"
"         viper.silicon.decider.LayeredPathConditionStackLike.quantified (scala.collection.immutable.Seq, viper.silicon.state.terms.Quantifier, scala.collection.immutable.Seq, scala.collection.immutable.Seq, String, boolean, viper.silicon.state.terms.Term)","3’480 B (0%)","87 (0.1%)","17’320 (0.5%)","10.4","4"
"          viper.silicon.decider.LayeredPathConditionStackLike.quantified$ (viper.silicon.decider.LayeredPathConditionStackLike, scala.collection.immutable.Seq, viper.silicon.state.terms.Quantifier, scala.collection.immutable.Seq, scala.collection.immutable.Seq, String, boolean, viper.silicon.state.terms.Term)","3’480 B (0%)","87 (0.1%)","17’320 (0.5%)","10.4","4"
"     viper.silicon.rules.evaluator$.$anonfun$evalQuantified$5 (scala.collection.immutable.Seq, viper.silver.verifier.PartialVerificationError, scala.Option, int, viper.silicon.state.terms.Quantifier, scala.collection.immutable.Seq, String, viper.silicon.state.State, scala.Function1, viper.silicon.state.State, scala.collection.immutable.List, viper.silicon.verifier.Verifier)","1’840 B (0%)","46 (0%)","8’007 (0.2%)","27.5","5"
"      viper.silicon.rules.evaluator$$$Lambda$1898.913645852.apply (Object, Object, Object)","1’840 B (0%)","46 (0%)","8’007 (0.2%)","27.5","5"
"       viper.silicon.rules.evaluator$.evals2 (viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.List, scala.Function1, viper.silicon.verifier.Verifier, scala.Function3)","1’840 B (0%)","46 (0%)","8’007 (0.2%)","27.5","5"
"        viper.silicon.rules.evaluator$.evals (viper.silicon.state.State, scala.collection.immutable.Seq, scala.Function1, viper.silicon.verifier.Verifier, scala.Function3)","1’840 B (0%)","46 (0%)","8’007 (0.2%)","27.5","5"
"         viper.silicon.rules.evaluator$.$anonfun$evalQuantified$3 (scala.collection.immutable.Seq, viper.silver.verifier.PartialVerificationError, scala.collection.immutable.Seq, scala.Option, viper.silicon.state.terms.Quantifier, scala.collection.immutable.Seq, String, viper.silicon.state.State, viper.silicon.state.State, viper.silicon.verifier.Verifier, scala.Function1)","1’840 B (0%)","46 (0%)","8’007 (0.2%)","27.5","5"
"          viper.silicon.rules.evaluator$$$Lambda$1895.960629945.apply (Object, Object, Object)","1’840 B (0%)","46 (0%)","8’007 (0.2%)","27.5","5"
"     viper.silicon.state.terms.And$.apply (Object)","1’240 B (0%)","31 (0%)","394 (0%)","425.8","15"
"      viper.silicon.rules.evaluator$.$anonfun$evalSeqShortCircuit$10 (scala.Function1, scala.collection.immutable.Seq)","1’240 B (0%)","31 (0%)","394 (0%)","425.8","15"
"       viper.silicon.rules.evaluator$$$Lambda$1488.302735946.apply (Object)","1’240 B (0%)","31 (0%)","394 (0%)","425.8","15"
"        viper.silicon.rules.joiner$.$anonfun$join$3 (scala.runtime.ObjectRef, scala.Function1, viper.silicon.verifier.Verifier, scala.Function3)","1’240 B (0%)","31 (0%)","394 (0%)","425.8","15"
"         viper.silicon.rules.joiner$$$Lambda$1521.1164083248.apply ()","1’240 B (0%)","31 (0%)","394 (0%)","425.8","15"
"          viper.silicon.interfaces.NonFatalResult.$amp$amp (scala.Function0)","1’240 B (0%)","31 (0%)","394 (0%)","425.8","15"
"     viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider$functionsSupporter$.$anonfun$verify$5 (viper.silicon.supporters.functions.DefaultFunctionVerificationUnitProvider.functionsSupporter., scala.collection.immutable.Seq, scala.collection.immutable.ListSet, viper.silver.ast.Exp, viper.silver.ast.Function, viper.silicon.supporters.functions.FunctionData, scala.collection.immutable.Seq, scala.Function1, scala.runtime.ObjectRef, viper.silicon.state.State, viper.silicon.verifier.Verifier)","1’040 B (0%)","26 (0%)","341 (0%)","457.6","10"
